ABC Indicators,Functional Location,
1,PALM-*F**-0005-0003-0001,
1,PALM-*F**-0005-0003-0002,
1,PALM-*F**-0005-0003-0003,
1,PALM-*F**-0005-0003-0004,
1,PALM-*F**-0005-0003-0005,
1,PALM-*F**-0005-0003-0006,
1,PALM-*F**-0005-0003-0007,
1,PALM-*F**-0005-0003-0008,
1,PALM-*F**-0005-0003-0009,
1,PALM-*F**-0005-0003-0010,
1,PALM-*F**-0005-0003-0011,
1,PALM-*F**-0005-0003-0012,
1,PALM-*F**-0005-0006-0013,
1,PALM-*F**-0005-0006-0014,
1,PALM-*F**-0005-0006-0015,
1,PALM-*F**-0005-0006-0016,
1,PALM-*F**-0005-0006-0017,
1,PALM-*F**-0005-0006-0018,
1,PALM-*F**-0005-0006-0019,
1,PALM-*F**-0005-0006-0020,
1,PALM-*F**-0005-0006-0021,
1,PALM-*F**-0005-0006-0022,
1,PALM-*F**-0005-0006-0023,
1,PALM-*F**-0005-0006-0024,
1,PALM-*F**-0005-0006-0025,
1,PALM-*F**-0005-0006-0026,
1,PALM-*F**-0005-0006-0027,
1,PALM-*F**-0005-0006-0028,
1,PALM-*F**-0005-0008-0001,
1,PALM-*F**-0005-0008-0002,
1,PALM-*F**-0005-0008-0003,
1,PALM-*F**-0005-0008-0004,
1,PALM-*F**-0005-0008-0005,
1,PALM-*F**-0005-0008-0006,
1,PALM-*F**-0005-0009-0001,
1,PALM-*F**-0005-0009-0007,
1,PALM-*F**-0005-0009-0013,
1,PALM-*F**-0005-0009-0019,
1,PALM-*F**-0005-0011-0015,
1,PALM-*F**-0005-0011-0016,
